country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/10/2020,-4,4,-5,-4,1,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/11/2020,-4,4,-3,-4,1,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/12/2020,-7,23,4,-7,-1,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/13/2020,-8,40,-5,-16,-7,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/14/2020,-70,-8,0,-34,-27,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/15/2020,-66,-18,20,-34,-29,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/16/2020,-32,16,7,-43,-36,14
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/17/2020,-36,30,31,-46,-45,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/18/2020,-61,-12,7,-56,-52,20
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/19/2020,-75,-23,-19,-67,-61,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/20/2020,-79,-22,-50,-71,-62,31
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/21/2020,-84,-39,-34,-67,-51,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/22/2020,-79,-45,-20,-63,-48,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/23/2020,-74,-25,-20,-70,-65,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/24/2020,-74,-21,-8,-69,-66,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/25/2020,-76,-29,-19,-69,-65,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/26/2020,-77,-25,-25,-72,-66,29
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/27/2020,-78,-21,-27,-70,-65,31
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/28/2020,-83,-36,-38,-67,-51,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/29/2020,-84,-53,-66,-76,-52,17
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/30/2020,-76,-30,-35,-72,-66,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,3/31/2020,-75,-25,-18,-71,-66,28
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/1/2020,-76,-31,-18,-69,-64,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/2/2020,-77,-27,-38,-73,-66,30
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/3/2020,-79,-21,-38,-72,-65,32
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/4/2020,-82,-32,-30,-64,-50,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/5/2020,-76,-36,-13,-60,-46,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/6/2020,-74,-27,-19,-69,-66,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/7/2020,-72,-19,4,-67,-66,26
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/8/2020,-73,-25,-3,-66,-64,24
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/9/2020,-73,-18,-7,-67,-66,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/10/2020,-75,-14,-12,-67,-66,30
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/11/2020,-79,-25,-20,-60,-47,20
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/12/2020,-75,-40,-24,-61,-45,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/13/2020,-86,-76,-31,-80,-88,35
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/14/2020,-73,-11,-26,-70,-66,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/15/2020,-74,-24,-12,-66,-64,25
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/16/2020,-73,-20,-4,-67,-65,27
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/17/2020,-75,-19,-14,-66,-63,30
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/18/2020,-80,-35,-54,-67,-45,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/19/2020,-76,-43,-29,-63,-41,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/20/2020,-66,-28,-9,-65,-60,24
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/21/2020,-66,-22,0,-64,-60,25
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/22/2020,-68,-25,-1,-63,-58,23
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/23/2020,-67,-19,2,-63,-60,25
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/24/2020,-71,-19,-17,-64,-59,28
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/25/2020,-75,-28,-25,-58,-39,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/26/2020,-70,-33,-3,-54,-36,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/27/2020,-63,-26,4,-62,-58,23
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/28/2020,-68,-23,-38,-68,-58,24
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/29/2020,-68,-21,-31,-64,-56,23
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,4/30/2020,-60,-1,-28,-64,-57,25
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/1/2020,-83,-69,-37,-76,-83,37
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/2/2020,-71,-19,-36,-60,-37,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/3/2020,-69,-36,-13,-55,-33,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/4/2020,-57,-19,-4,-59,-53,21
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/5/2020,-56,-16,17,-58,-53,21
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/6/2020,-57,-19,21,-55,-51,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/7/2020,-57,-13,19,-56,-52,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/8/2020,-60,-12,11,-56,-51,24
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/9/2020,-65,-18,17,-46,-28,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/10/2020,-62,-25,-39,-51,-17,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/11/2020,-41,-18,-18,-54,-48,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/12/2020,-40,-11,6,-50,-47,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/13/2020,-44,-15,-7,-50,-46,18
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/14/2020,-47,-8,-1,-49,-47,19
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/15/2020,-50,-7,1,-45,-44,21
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/16/2020,-54,-14,-6,-36,-18,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/17/2020,-59,-14,26,-32,-13,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/18/2020,-34,-9,22,-41,-43,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/19/2020,-33,-1,35,-39,-43,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/20/2020,-26,11,34,-38,-43,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/21/2020,-65,-52,80,-54,-80,25
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/22/2020,-38,5,-5,-49,-62,23
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/23/2020,-47,-13,-3,-36,-13,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/24/2020,-58,-19,4,-37,-11,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/25/2020,-29,-9,29,-40,-42,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/26/2020,-29,-4,47,-39,-39,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/27/2020,-32,-7,41,-38,-39,13
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/28/2020,-32,1,33,-39,-40,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/29/2020,-37,3,33,-37,-38,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/30/2020,-41,-1,35,-24,0,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,5/31/2020,-48,4,60,-22,0,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/1/2020,-57,-55,125,-51,-78,22
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/2/2020,-22,14,48,-34,-37,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/3/2020,-29,-2,35,-34,-36,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/4/2020,-36,-2,-19,-41,-37,16
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/5/2020,-41,-5,-28,-43,-36,17
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/6/2020,-39,-6,-10,-31,-2,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/7/2020,-45,-9,22,-29,1,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/8/2020,-14,-11,-9,-36,-36,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/9/2020,-14,-5,18,-34,-35,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/10/2020,-15,-9,25,-33,-34,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/11/2020,-15,-3,27,-33,-35,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/12/2020,-18,-3,27,-31,-33,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/13/2020,-20,-6,60,-18,7,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/14/2020,-21,-4,48,-20,17,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/15/2020,-7,-7,53,-29,-34,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/16/2020,-8,0,47,-29,-33,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/17/2020,-17,-9,3,-33,-33,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/18/2020,-12,-2,33,-31,-34,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/19/2020,-13,-2,49,-27,-32,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/20/2020,-17,-9,70,-15,7,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/21/2020,-18,-5,55,-20,9,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/22/2020,-2,-4,70,-27,-35,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/23/2020,2,4,102,-23,-34,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/24/2020,-5,-1,93,-24,-31,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/25/2020,-6,3,89,-25,-33,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/26/2020,-15,-1,56,-25,-32,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/27/2020,-19,-7,43,-16,2,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/28/2020,-12,-4,56,-16,13,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/29/2020,2,-1,51,-25,-33,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,6/30/2020,2,0,38,-26,-32,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/1/2020,-5,-6,35,-27,-34,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/2/2020,-3,-1,58,-27,-36,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/3/2020,-8,-3,77,-24,-36,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/4/2020,-17,-10,39,-15,0,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/5/2020,-13,-6,49,-16,5,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/6/2020,2,-4,77,-28,-40,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/7/2020,5,-1,111,-24,-39,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/8/2020,-10,-10,19,-32,-37,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/9/2020,-4,-4,67,-29,-38,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/10/2020,-12,-4,70,-27,-38,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/11/2020,-18,-14,98,-9,2,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/12/2020,-4,-3,124,-3,10,-2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/13/2020,5,-5,151,-25,-43,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/14/2020,-3,-4,71,-32,-44,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/15/2020,-5,-10,89,-30,-40,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/16/2020,-8,-5,57,-35,-43,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/17/2020,-14,-7,102,-29,-42,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/18/2020,-23,-16,124,-12,-1,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/19/2020,-11,-5,122,-10,7,-2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/20/2020,13,8,172,-33,-60,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/21/2020,-27,-56,252,-43,-77,15
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/22/2020,-3,-2,142,-30,-47,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/23/2020,-6,-4,146,-32,-49,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/24/2020,-21,-6,86,-35,-48,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/25/2020,-30,-16,64,-24,-5,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/26/2020,-21,-11,83,-18,6,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/27/2020,-6,-6,115,-36,-51,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/28/2020,-7,-5,123,-37,-50,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/29/2020,-13,-12,127,-35,-48,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/30/2020,-12,-3,127,-36,-51,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,7/31/2020,-29,-10,108,-38,-51,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/1/2020,-31,-17,87,-24,-4,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/2/2020,-13,-8,90,-17,8,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/3/2020,-4,-6,85,-38,-50,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/4/2020,1,-2,145,-34,-48,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/5/2020,-7,-8,137,-33,-46,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/6/2020,-10,-3,128,-37,-49,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/7/2020,-23,-7,112,-37,-48,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/8/2020,-33,-17,95,-26,-6,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/9/2020,-26,-7,78,-24,5,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/10/2020,-6,-5,114,-38,-48,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/11/2020,-7,-5,123,-38,-47,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/12/2020,-13,-12,106,-37,-44,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/13/2020,-14,-6,83,-39,-46,12
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/14/2020,-15,3,82,-35,-45,11
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/15/2020,-48,-57,87,-28,-19,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/16/2020,-17,2,68,-21,6,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/17/2020,4,3,92,-35,-48,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/18/2020,-2,-4,110,-34,-42,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/19/2020,-9,-12,87,-33,-40,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/20/2020,-10,-9,104,-35,-42,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/21/2020,-16,-10,95,-33,-41,10
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/22/2020,-22,-16,68,-21,-1,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/23/2020,-19,-10,55,-23,6,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/24/2020,-2,-6,69,-34,-41,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/25/2020,-3,-5,64,-33,-40,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/26/2020,-9,-11,46,-33,-37,8
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/27/2020,-5,-6,75,-31,-38,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/28/2020,-12,-5,48,-30,-37,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/29/2020,-16,-11,38,-18,-1,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/30/2020,-20,-11,19,-23,5,2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,8/31/2020,9,2,55,-29,-40,9
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/1/2020,0,2,66,-21,-36,7
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/2/2020,-4,-4,69,-19,-31,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/3/2020,-12,-4,38,-22,-34,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/4/2020,-13,-4,57,-19,-31,6
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/5/2020,-14,-9,63,-15,-1,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/6/2020,-8,-3,82,-11,6,0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/7/2020,-4,-3,70,-18,-35,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/8/2020,-7,-2,66,-18,-34,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/9/2020,-7,-5,65,-17,-30,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/10/2020,-9,-4,75,-17,-31,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/11/2020,-12,-4,84,-15,-30,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/12/2020,-15,-8,90,-9,0,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/13/2020,-5,-2,117,-4,7,-2
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/14/2020,-4,-4,104,-14,-26,3
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/15/2020,-7,-3,113,-15,-26,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/16/2020,-8,-7,87,-14,-25,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/17/2020,-11,-6,70,-18,-26,5
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/18/2020,-14,-5,80,-15,-25,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/19/2020,-16,-10,93,-10,-1,1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/20/2020,-7,-4,109,2,5,-1
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/21/2020,-7,-5,80,-15,-26,4
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,9/22/2020,-9,-4,81,-14,-25,5
